[[33, 32, 28, 37, 36, 36], 832.0576508717264, 36.0, 6, 0.06666666666666667]
[[33, 30, 29, 37, 32, 41], 809.5308372036809, 24.000000000000004, 6, 0.022222222222222223]
[[33, 28, 30, 35, 33, 43], 818.0393708925894, 20.8, 6, 0.013333333333333334]
[[31, 34, 29, 38, 33, 37], 804.4199147255047, 36.0, 8, 0.06666666666666667]
[[32, 32, 29, 36, 32, 41], 783.1923437959781, 22.666666666666668, 8, 0.022222222222222223]
[[29, 34, 30, 34, 32, 43], 794.6691407762703, 20.000000000000004, 8, 0.013333333333333334]
[[34, 30, 30, 37, 34, 37], 785.9308328521503, 32.0, 10, 0.06666666666666667]
[[32, 32, 29, 35, 32, 42], 773.8622531972671, 25.33333333333333, 10, 0.022222222222222223]
[[31, 33, 30, 35, 31, 42], 770.3170561594965, 14.400000000000002, 10, 0.013333333333333334]
[[[33, 32, 28, 37, 36, 36], 832.0576508717264, 36.0, 6, 0.06666666666666667], [[33, 30, 29, 37, 32, 41], 809.5308372036809, 24.000000000000004, 6, 0.022222222222222223], [[33, 28, 30, 35, 33, 43], 818.0393708925894, 20.8, 6, 0.013333333333333334], [[31, 34, 29, 38, 33, 37], 804.4199147255047, 36.0, 8, 0.06666666666666667], [[32, 32, 29, 36, 32, 41], 783.1923437959781, 22.666666666666668, 8, 0.022222222222222223], [[29, 34, 30, 34, 32, 43], 794.6691407762703, 20.000000000000004, 8, 0.013333333333333334], [[34, 30, 30, 37, 34, 37], 785.9308328521503, 32.0, 10, 0.06666666666666667], [[32, 32, 29, 35, 32, 42], 773.8622531972671, 25.33333333333333, 10, 0.022222222222222223], [[31, 33, 30, 35, 31, 42], 770.3170561594965, 14.400000000000002, 10, 0.013333333333333334]]
