index,airborne delay cost,ground delay cost,transform
"[35, 31, 27, 38, 35, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 28, 36, 35, 37, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 27, 37, 36, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 27, 38, 35, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 27, 37, 36, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 28, 36, 35, 37, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 28, 37, 35, 35, 36, 36, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 28, 36, 36, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 27, 38, 35, 36, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2499.494323028015,42.5,1
"[35, 31, 28, 36, 35, 37, 36, 35, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2511.651375996718,47.5,0
"[35, 31, 28, 36, 35, 36, 36, 36, 37, 32, 33, 36, 29, 35, 26, 23, 28, 25]",2508.703104870713,52.5,0
"[35, 31, 28, 36, 35, 36, 36, 36, 36, 32, 34, 36, 29, 35, 26, 23, 28, 25]",2495.389951868121,57.5,0
"[35, 31, 27, 36, 36, 36, 36, 36, 36, 32, 34, 36, 29, 35, 26, 23, 28, 25]",2495.389951868121,57.5,1
"[35, 31, 27, 37, 35, 36, 36, 36, 36, 32, 34, 36, 29, 35, 26, 23, 28, 25]",2495.389951868121,57.5,1
"[35, 31, 28, 36, 35, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,0
"[35, 31, 28, 35, 35, 37, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 28, 35, 35, 37, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 28, 36, 35, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 22, 29, 25]",2486.395546217809,60.0,1
"[35, 31, 27, 37, 35, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 27, 37, 35, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 28, 35, 36, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 28, 35, 36, 36, 36, 36, 36, 32, 34, 36, 29, 34, 27, 23, 28, 25]",2486.395546217809,60.0,1
"[35, 31, 28, 36, 35, 36, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,0
"[35, 31, 27, 36, 36, 36, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,1
"[35, 31, 27, 37, 35, 36, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,1
"[35, 31, 28, 35, 35, 37, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,1
"[35, 31, 28, 35, 36, 36, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,1
"[35, 31, 27, 36, 36, 36, 36, 36, 35, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2477.516398198135,62.5,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2471.246124845012,67.5,0
"[35, 31, 28, 36, 35, 36, 34, 36, 37, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2471.246124845012,67.5,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2471.246124845012,67.5,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2471.246124845012,67.5,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 33, 34, 36, 29, 34, 27, 23, 28, 25]",2471.246124845012,67.5,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 35, 36, 29, 34, 27, 23, 28, 25]",2471.2098624750174,70.0,0
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,0
"[35, 31, 28, 36, 35, 35, 36, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 27, 36, 36, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 28, 35, 36, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 27, 36, 36, 36, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 35, 35, 29, 35, 27, 23, 28, 25]",2461.7927996132526,75.0,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 34, 35, 30, 35, 27, 23, 28, 25]",2449.827023429319,80.0,0
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 34, 35, 30, 35, 27, 23, 28, 25]",2449.827023429319,80.0,1
"[35, 31, 28, 36, 35, 36, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,0
"[35, 31, 28, 35, 35, 37, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,1
"[35, 31, 27, 37, 35, 36, 35, 36, 36, 32, 34, 34, 30, 36, 27, 23, 28, 25]",2445.059113640102,85.0,1
